sepal_length(cm),sepal_width(cm),sepals_area(cm2),petal_length(cm),petal_width(cm),petals_area(cm2),class,color
5.1,3.5,17.849999999999998,1.4,0.2,0.27999999999999997,Setosa,purple
4.9,3.0,14.700000000000001,1.4,0.2,0.27999999999999997,Setosa,blue
4.7,3.2,15.040000000000001,1.3,0.2,0.26,Setosa,blue
5.1,3.8,19.38,1.5,0.3,0.44999999999999996,Setosa,purple
5.4,3.4,18.36,1.7,0.2,0.34,Setosa,blue
7.0,3.2,22.400000000000002,4.7,1.4,6.58,Versicolor,purple
6.4,3.2,20.480000000000004,4.5,1.5,6.75,Versicolor,blue
6.9,3.1,21.39,4.9,1.5,7.3500000000000005,Versicolor,purple
5.5,2.3,12.649999999999999,4.0,1.3,5.2,Versicolor,blue
6.5,2.8,18.2,4.6,1.5,6.8999999999999995,Versicolor,blue
6.3,3.3,20.79,6.0,2.5,15.0,Virginica,purple
5.8,2.7,15.66,5.1,1.9,9.69,Virginica,blue
7.1,3.0,21.299999999999997,5.9,2.1,12.39,Virginica,purple
6.3,2.9,18.27,5.6,1.8,10.08,Virginica,blue
6.5,3.0,19.5,5.8,2.2,12.76,Virginica,purple
